in,x,y,q,te,tl
69,2.548,-0.141,3,12,15
70,2.589,0.162,3,15,18
71,2.973,1.822,3,9,12
72,2.444,2.271,3,12,15
73,2.929,2.155,3,15,18
74,3.233,-1.017,3,9,12
75,2.97,-1.368,3,12,15
76,2.497,2.744,3,15,18
77,-2.656,1.216,3,9,12
78,-2.739,1.189,3,12,15
79,-2.619,1.19,3,15,18
80,-1.64,2.091,3,9,12
81,-1.708,1.814,3,12,15
82,-1.748,1.915,3,15,18
83,-1.95,1.984,3,9,12
84,-2.05,-2.167,3,12,15
85,-1.974,-2.349,3,15,18
86,-1.777,-2.724,3,9,12
87,-2.054,-2.746,3,12,15
88,-2.569,-0.062,3,15,18
89,-2.529,-0.697,3,9,12
90,-2.465,-0.757,3,12,15
91,-1.906,-0.328,3,15,18
92,-1.864,0.007,3,9,12
93,-1.579,-0.8,3,12,15
94,-1.992,-0.608,3,15,18
95,-1.976,0.315,3,9,12
96,-1.949,0.674,3,12,15
97,-2.056,0.582,3,15,18
98,-1.698,0.357,3,9,12
99,-0.865,-2.654,3,12,15
100,-1.157,-2.538,3,15,18
101,-1.165,-2.499,3,9,12
102,-0.232,-2.575,3,12,15
103,-0.221,-2.604,3,15,18
104,-0.546,-2.318,3,9,12
105,2.302,-2.087,3,12,15
106,2.267,-1.818,3,15,18
107,2.109,-2.141,3,9,12
108,2.088,-1.32,3,12,15
109,1.884,-1.493,3,15,18
110,2.61,0.664,3,9,12
111,0.077,0.08,3,12,15
112,-0.002,-0.006,3,15,18
113,-0.017,-0.335,3,9,12
114,1.929,1.462,3,12,15
115,2.506,2.016,3,15,18
116,2.488,1.76,3,9,12
117,2.43,1.802,3,12,15
118,-0.123,0.886,3,15,18
119,-0.129,0.525,3,9,12
120,0.114,0.763,3,12,15
121,1.197,1.336,3,15,18
122,1.157,1.106,3,9,12
123,0.583,1.579,3,12,15
124,0.671,1.574,3,15,18
125,0.406,1.883,3,9,12
126,1.035,2.761,3,12,15
127,1.169,2.739,3,15,18
128,0.824,3.209,3,9,12
129,1.001,3.222,3,12,15
130,0.426,3.589,3,15,18
131,0.466,3.251,3,9,12
132,1.854,1.931,3,12,15
133,1.514,1.456,3,15,18
134,1.75,2.019,3,9,12
135,1.662,1.856,3,12,15
136,1.45,2.15,3,15,18
137,1.46,2.03,3,9,12
138,1.405,2.147,3,12,15
139,1.602,2.187,3,15,18
140,1.936,2.457,3,9,12
141,1.85,2.501,3,12,15
142,3.739,-1.192,3,15,18
143,2.951,-1.371,3,9,12
144,2.915,-1.375,3,12,15
145,4.239,-3.077,3,15,18
146,4.017,-2.801,3,9,12
147,2.772,1.393,3,12,15
148,2.341,0.903,3,15,18
149,1.467,-3.145,3,9,12
150,1.356,-3.133,3,12,15
151,1.596,-3.134,3,15,18
152,-0.981,2.442,3,9,12
153,-1.673,2.903,3,12,15
154,-1.197,3.577,3,15,18
155,-3.33,1.227,3,9,12
156,-3.629,1.862,3,12,15
157,1.229,1.498,3,15,18
158,-2.106,1.223,3,9,12
159,-2.837,1.785,3,12,15
160,-3.184,1.579,3,15,18
161,-1.425,1.615,3,9,12
162,-1.602,1.422,3,12,15
163,-1.192,1.346,3,15,18
164,-0.926,1.662,3,9,12
165,-0.729,1.556,3,12,15
166,-0.861,1.462,3,15,18
167,-2.179,2.368,3,9,12
168,-2.39,1.837,3,12,15
169,-1.244,2.245,3,15,18
170,-1.19,2.171,3,9,12
171,-1.266,1.99,3,12,15
172,-0.877,2.288,3,15,18
173,-0.728,1.928,3,9,12
174,-3.058,-0.406,3,12,15
175,-3.077,-0.705,3,15,18
176,-2.936,-1.343,3,9,12
177,-2.607,-0.875,3,12,15
178,-2.779,-1.024,3,15,18
179,-2.887,-0.451,3,9,12
180,-3.643,0.011,3,12,15
181,-3.117,0.159,3,15,18
182,-2.05,1.586,3,9,12
183,-2.843,0.616,3,12,15
184,-2.851,0.083,3,15,18
185,-3.025,0.336,3,9,12
186,-3.309,0.366,3,12,15
187,-1.762,-1.402,3,15,18
188,-1.849,-1.445,3,9,12
189,-2.264,-1.43,3,12,15
190,-2.105,-1.269,3,15,18
191,-1.642,-1.38,3,9,12
192,-2.53,-1.199,3,12,15
193,-2.299,0.468,3,15,18
194,-2.541,0.308,3,9,12
195,-2.501,0.66,3,12,15
196,-2.473,0.312,3,15,18
197,-0.754,-2.666,3,9,12
198,-0.822,-2.801,3,12,15
199,-0.669,-2.753,3,15,18
200,-0.767,-2.9,3,9,12
201,-0.253,-1.655,3,12,15
202,0.568,-1.488,3,15,18
203,-0.001,-1.958,3,9,12
204,-0.369,-1.899,3,12,15
205,-0.754,-1.674,3,15,18
206,-1.374,-2.09,3,9,12
207,-1.398,-1.534,3,12,15
208,-1.531,-1.08,3,15,18
209,-0.886,-1.021,3,9,12
210,-0.741,-0.99,3,12,15
211,0.121,-1.146,3,15,18
212,-0.301,-0.939,3,9,12
213,-0.572,-0.878,3,12,15
214,-0.079,0.17,3,15,18
215,-1.081,-0.761,3,9,12
216,-1.239,-0.422,3,12,15
217,-1.258,-0.15,3,15,18
218,-1.196,-0.327,3,9,12
219,-1.818,-1.87,3,12,15
220,-0.934,0.163,3,15,18
221,-1.013,0.008,3,9,12
222,-1.044,0.406,3,12,15
223,-1.178,0.579,3,15,18
224,-0.73,-0.049,3,9,12
225,-0.294,0.244,3,12,15
226,-0.686,0.696,3,15,18
227,-0.92,0.369,3,9,12
228,1.506,-3.165,3,12,15
229,2.004,-3.19,3,15,18
230,-1.295,0.602,3,9,12
231,1.835,-2.795,3,12,15
232,2.162,-2.793,3,15,18
233,-0.15,-3.152,3,9,12
234,0.303,-3.073,3,12,15
235,-0.094,-3.141,3,15,18
236,0.759,-3.166,3,9,12
237,2.525,-2.862,3,12,15
238,0.093,-2.834,3,15,18
239,-0.289,-3.066,3,9,12
240,0.028,-2.75,3,12,15
241,0.048,-2.427,3,15,18
242,0.548,-2.263,3,9,12
243,0.365,-2.478,3,12,15
244,1.087,-2.65,3,15,18
245,0.882,-2.375,3,9,12
246,0.88,-2.646,3,12,15
247,0.382,-2.75,3,15,18
248,0.522,-2.784,3,9,12
249,0.687,-2.572,3,12,15
250,0.504,-2.648,3,15,18
251,0.642,-2.165,3,9,12
252,0.762,-2.422,3,12,15
253,1.9,-2.067,3,15,18
254,2.55,-2.316,3,9,12
255,2.433,-2.186,3,12,15
256,1.707,-1.884,3,15,18
257,0.445,-1.814,3,9,12
258,0.749,-1.787,3,12,15
259,0.061,-2.089,3,15,18
260,0.7,-1.76,3,9,12
261,0.089,-2,3,12,15
262,1.497,-1.097,3,15,18
263,1.42,-1.207,3,9,12
264,1.815,-1.424,3,12,15
265,1.89,-1.48,3,15,18
266,1.234,-1.515,3,9,12
267,1.472,-0.705,3,12,15
268,1.3,-0.897,3,15,18
269,1.614,-0.902,3,9,12
270,1.739,-0.853,3,12,15
271,1.792,-0.478,3,15,18
272,2.983,-2.285,3,9,12
273,2.843,-1.847,3,12,15
274,2.645,-2.519,3,15,18
275,3.63,-1.99,3,9,12
276,3.082,-1.65,3,12,15
277,2.305,-0.072,3,15,18
278,2.299,-0.219,3,9,12
279,2.105,-0.343,3,12,15
280,2.051,-0.145,3,15,18
281,2.39,-1.377,3,9,12
282,2.501,-1.257,3,12,15
283,2.696,-1.17,3,15,18
284,2.306,-1.364,3,9,12
285,1.718,-0.139,3,12,15
286,1.817,-0.258,3,15,18
287,1.762,0.508,3,9,12
288,2.026,0.46,3,12,15
289,1.757,0.371,3,15,18
290,0.894,-1.037,3,9,12
291,0.992,-1.372,3,12,15
292,0.921,-1.35,3,15,18
293,0.256,-0.81,3,9,12
294,0.587,-1.16,3,12,15
295,1.251,-0.522,3,15,18
296,0.915,-0.607,3,9,12
297,0.994,-0.237,3,12,15
298,0.859,-0.441,3,15,18
299,0.812,-0.495,3,9,12
300,0.374,-0.058,3,12,15
301,0.562,0.059,3,15,18
302,0.942,-0.148,3,9,12
303,1.312,0,3,12,15
304,1.265,-0.132,3,15,18
305,1.524,-0.398,3,9,12
306,1.54,0.058,3,12,15
307,1.643,0.142,3,15,18
308,1.31,0.274,3,9,12
309,1.199,0.358,3,12,15
310,0.809,0.387,3,15,18
311,0.732,0.17,3,9,12
312,0.542,0.453,3,12,15
313,1.001,0.631,3,15,18
314,1.186,1.009,3,9,12
315,1.306,0.674,3,12,15
316,2.789,1.567,3,15,18
317,2.099,1.033,3,9,12
318,2.323,1.263,3,12,15
319,2.435,1.432,3,15,18
320,1.505,0.706,3,9,12
321,1.408,0.896,3,12,15
322,1.53,1.173,3,15,18
323,1.927,1.486,3,9,12
324,2.259,1.891,3,12,15
325,0.544,0.714,3,15,18
326,0.625,1.257,3,9,12
327,0.54,0.994,3,12,15
328,0.12,1.053,3,15,18
329,-0.019,1.128,3,9,12
330,0.043,1.158,3,12,15
