iv,jv,id,q,l,s,tf,td,tc,tw,r,cd,ct,cf
45,1,4,200,10000,1,0,0,0,0,1,1,0,0
46,1,4,200,10000,1,0,0,0,0,1,1,0,0
47,1,4,200,10000,1,0,0,0,0,1,1,0,0
48,1,4,200,10000,1,0,0,0,0,1,1,0,0
49,1,4,200,10000,1,0,0,0,0,1,1,0,0
50,1,4,200,10000,1,0,0,0,0,1,1,0,0
1,1,5,200,10000,1,0,0,0,0,1,1,0,0
2,1,5,200,10000,1,0,0,0,0,1,1,0,0
3,1,5,200,10000,1,0,0,0,0,1,1,0,0
4,1,5,200,10000,1,0,0,0,0,1,1,0,0
5,1,5,200,10000,1,0,0,0,0,1,1,0,0
6,1,5,200,10000,1,0,0,0,0,1,1,0,0
7,1,5,200,10000,1,0,0,0,0,1,1,0,0
8,1,5,200,10000,1,0,0,0,0,1,1,0,0
9,1,5,200,10000,1,0,0,0,0,1,1,0,0
10,1,5,200,10000,1,0,0,0,0,1,1,0,0
11,1,5,200,10000,1,0,0,0,0,1,1,0,0
12,1,5,200,10000,1,0,0,0,0,1,1,0,0
13,1,5,200,10000,1,0,0,0,0,1,1,0,0
14,1,5,200,10000,1,0,0,0,0,1,1,0,0
15,1,5,200,10000,1,0,0,0,0,1,1,0,0
16,1,5,200,10000,1,0,0,0,0,1,1,0,0
17,1,5,200,10000,1,0,0,0,0,1,1,0,0
18,1,5,200,10000,1,0,0,0,0,1,1,0,0
19,1,5,200,10000,1,0,0,0,0,1,1,0,0
20,1,5,200,10000,1,0,0,0,0,1,1,0,0
21,1,5,200,10000,1,0,0,0,0,1,1,0,0
22,1,5,200,10000,1,0,0,0,0,1,1,0,0
23,1,5,200,10000,1,0,0,0,0,1,1,0,0
24,1,5,200,10000,1,0,0,0,0,1,1,0,0
25,1,5,200,10000,1,0,0,0,0,1,1,0,0
26,1,5,200,10000,1,0,0,0,0,1,1,0,0
27,1,5,200,10000,1,0,0,0,0,1,1,0,0
28,1,5,200,10000,1,0,0,0,0,1,1,0,0
29,1,5,200,10000,1,0,0,0,0,1,1,0,0
30,1,5,200,10000,1,0,0,0,0,1,1,0,0
31,1,5,200,10000,1,0,0,0,0,1,1,0,0
32,1,5,200,10000,1,0,0,0,0,1,1,0,0
33,1,5,200,10000,1,0,0,0,0,1,1,0,0
34,1,5,200,10000,1,0,0,0,0,1,1,0,0
35,1,5,200,10000,1,0,0,0,0,1,1,0,0
36,1,5,200,10000,1,0,0,0,0,1,1,0,0
37,1,5,200,10000,1,0,0,0,0,1,1,0,0
38,1,5,200,10000,1,0,0,0,0,1,1,0,0
39,1,5,200,10000,1,0,0,0,0,1,1,0,0
40,1,5,200,10000,1,0,0,0,0,1,1,0,0
41,1,5,200,10000,1,0,0,0,0,1,1,0,0
42,1,5,200,10000,1,0,0,0,0,1,1,0,0
43,1,5,200,10000,1,0,0,0,0,1,1,0,0
44,1,5,200,10000,1,0,0,0,0,1,1,0,0
45,1,5,200,10000,1,0,0,0,0,1,1,0,0
46,1,5,200,10000,1,0,0,0,0,1,1,0,0
47,1,5,200,10000,1,0,0,0,0,1,1,0,0
48,1,5,200,10000,1,0,0,0,0,1,1,0,0
49,1,5,200,10000,1,0,0,0,0,1,1,0,0
50,1,5,200,10000,1,0,0,0,0,1,1,0,0
1,1,6,200,10000,1,0,0,0,0,1,1,0,0
2,1,6,200,10000,1,0,0,0,0,1,1,0,0
3,1,6,200,10000,1,0,0,0,0,1,1,0,0
4,1,6,200,10000,1,0,0,0,0,1,1,0,0
5,1,6,200,10000,1,0,0,0,0,1,1,0,0
6,1,6,200,10000,1,0,0,0,0,1,1,0,0
7,1,6,200,10000,1,0,0,0,0,1,1,0,0
8,1,6,200,10000,1,0,0,0,0,1,1,0,0
9,1,6,200,10000,1,0,0,0,0,1,1,0,0
10,1,6,200,10000,1,0,0,0,0,1,1,0,0
11,1,6,200,10000,1,0,0,0,0,1,1,0,0
12,1,6,200,10000,1,0,0,0,0,1,1,0,0
13,1,6,200,10000,1,0,0,0,0,1,1,0,0
14,1,6,200,10000,1,0,0,0,0,1,1,0,0
15,1,6,200,10000,1,0,0,0,0,1,1,0,0
16,1,6,200,10000,1,0,0,0,0,1,1,0,0
17,1,6,200,10000,1,0,0,0,0,1,1,0,0
18,1,6,200,10000,1,0,0,0,0,1,1,0,0
19,1,6,200,10000,1,0,0,0,0,1,1,0,0
20,1,6,200,10000,1,0,0,0,0,1,1,0,0
21,1,6,200,10000,1,0,0,0,0,1,1,0,0
22,1,6,200,10000,1,0,0,0,0,1,1,0,0
23,1,6,200,10000,1,0,0,0,0,1,1,0,0
24,1,6,200,10000,1,0,0,0,0,1,1,0,0
25,1,6,200,10000,1,0,0,0,0,1,1,0,0
26,1,6,200,10000,1,0,0,0,0,1,1,0,0
27,1,6,200,10000,1,0,0,0,0,1,1,0,0
28,1,6,200,10000,1,0,0,0,0,1,1,0,0
29,1,6,200,10000,1,0,0,0,0,1,1,0,0
30,1,6,200,10000,1,0,0,0,0,1,1,0,0
31,1,6,200,10000,1,0,0,0,0,1,1,0,0
32,1,6,200,10000,1,0,0,0,0,1,1,0,0
33,1,6,200,10000,1,0,0,0,0,1,1,0,0
34,1,6,200,10000,1,0,0,0,0,1,1,0,0
35,1,6,200,10000,1,0,0,0,0,1,1,0,0
36,1,6,200,10000,1,0,0,0,0,1,1,0,0
37,1,6,200,10000,1,0,0,0,0,1,1,0,0
38,1,6,200,10000,1,0,0,0,0,1,1,0,0
39,1,6,200,10000,1,0,0,0,0,1,1,0,0
40,1,6,200,10000,1,0,0,0,0,1,1,0,0
41,1,6,200,10000,1,0,0,0,0,1,1,0,0
42,1,6,200,10000,1,0,0,0,0,1,1,0,0
43,1,6,200,10000,1,0,0,0,0,1,1,0,0
44,1,6,200,10000,1,0,0,0,0,1,1,0,0
45,1,6,200,10000,1,0,0,0,0,1,1,0,0
46,1,6,200,10000,1,0,0,0,0,1,1,0,0
47,1,6,200,10000,1,0,0,0,0,1,1,0,0
48,1,6,200,10000,1,0,0,0,0,1,1,0,0
49,1,6,200,10000,1,0,0,0,0,1,1,0,0
50,1,6,200,10000,1,0,0,0,0,1,1,0,0
1,1,7,200,10000,1,0,0,0,0,1,1,0,0
2,1,7,200,10000,1,0,0,0,0,1,1,0,0
3,1,7,200,10000,1,0,0,0,0,1,1,0,0
4,1,7,200,10000,1,0,0,0,0,1,1,0,0
5,1,7,200,10000,1,0,0,0,0,1,1,0,0
6,1,7,200,10000,1,0,0,0,0,1,1,0,0
7,1,7,200,10000,1,0,0,0,0,1,1,0,0
8,1,7,200,10000,1,0,0,0,0,1,1,0,0
9,1,7,200,10000,1,0,0,0,0,1,1,0,0
10,1,7,200,10000,1,0,0,0,0,1,1,0,0
11,1,7,200,10000,1,0,0,0,0,1,1,0,0
12,1,7,200,10000,1,0,0,0,0,1,1,0,0
13,1,7,200,10000,1,0,0,0,0,1,1,0,0
14,1,7,200,10000,1,0,0,0,0,1,1,0,0
15,1,7,200,10000,1,0,0,0,0,1,1,0,0
16,1,7,200,10000,1,0,0,0,0,1,1,0,0
17,1,7,200,10000,1,0,0,0,0,1,1,0,0
18,1,7,200,10000,1,0,0,0,0,1,1,0,0
19,1,7,200,10000,1,0,0,0,0,1,1,0,0
20,1,7,200,10000,1,0,0,0,0,1,1,0,0
21,1,7,200,10000,1,0,0,0,0,1,1,0,0
22,1,7,200,10000,1,0,0,0,0,1,1,0,0
23,1,7,200,10000,1,0,0,0,0,1,1,0,0
24,1,7,200,10000,1,0,0,0,0,1,1,0,0
25,1,7,200,10000,1,0,0,0,0,1,1,0,0
26,1,7,200,10000,1,0,0,0,0,1,1,0,0
27,1,7,200,10000,1,0,0,0,0,1,1,0,0
28,1,7,200,10000,1,0,0,0,0,1,1,0,0
29,1,7,200,10000,1,0,0,0,0,1,1,0,0
30,1,7,200,10000,1,0,0,0,0,1,1,0,0
31,1,7,200,10000,1,0,0,0,0,1,1,0,0
32,1,7,200,10000,1,0,0,0,0,1,1,0,0
33,1,7,200,10000,1,0,0,0,0,1,1,0,0
34,1,7,200,10000,1,0,0,0,0,1,1,0,0
35,1,7,200,10000,1,0,0,0,0,1,1,0,0
36,1,7,200,10000,1,0,0,0,0,1,1,0,0
37,1,7,200,10000,1,0,0,0,0,1,1,0,0
38,1,7,200,10000,1,0,0,0,0,1,1,0,0
39,1,7,200,10000,1,0,0,0,0,1,1,0,0
40,1,7,200,10000,1,0,0,0,0,1,1,0,0
41,1,7,200,10000,1,0,0,0,0,1,1,0,0
42,1,7,200,10000,1,0,0,0,0,1,1,0,0
43,1,7,200,10000,1,0,0,0,0,1,1,0,0
44,1,7,200,10000,1,0,0,0,0,1,1,0,0
45,1,7,200,10000,1,0,0,0,0,1,1,0,0
46,1,7,200,10000,1,0,0,0,0,1,1,0,0
47,1,7,200,10000,1,0,0,0,0,1,1,0,0
48,1,7,200,10000,1,0,0,0,0,1,1,0,0
49,1,7,200,10000,1,0,0,0,0,1,1,0,0
50,1,7,200,10000,1,0,0,0,0,1,1,0,0
1,1,8,200,10000,1,0,0,0,0,1,1,0,0
2,1,8,200,10000,1,0,0,0,0,1,1,0,0
3,1,8,200,10000,1,0,0,0,0,1,1,0,0
4,1,8,200,10000,1,0,0,0,0,1,1,0,0
5,1,8,200,10000,1,0,0,0,0,1,1,0,0
6,1,8,200,10000,1,0,0,0,0,1,1,0,0
7,1,8,200,10000,1,0,0,0,0,1,1,0,0
8,1,8,200,10000,1,0,0,0,0,1,1,0,0
9,1,8,200,10000,1,0,0,0,0,1,1,0,0
10,1,8,200,10000,1,0,0,0,0,1,1,0,0
11,1,8,200,10000,1,0,0,0,0,1,1,0,0
12,1,8,200,10000,1,0,0,0,0,1,1,0,0
13,1,8,200,10000,1,0,0,0,0,1,1,0,0
14,1,8,200,10000,1,0,0,0,0,1,1,0,0
15,1,8,200,10000,1,0,0,0,0,1,1,0,0
16,1,8,200,10000,1,0,0,0,0,1,1,0,0
17,1,8,200,10000,1,0,0,0,0,1,1,0,0
18,1,8,200,10000,1,0,0,0,0,1,1,0,0
19,1,8,200,10000,1,0,0,0,0,1,1,0,0
20,1,8,200,10000,1,0,0,0,0,1,1,0,0
21,1,8,200,10000,1,0,0,0,0,1,1,0,0
22,1,8,200,10000,1,0,0,0,0,1,1,0,0
23,1,8,200,10000,1,0,0,0,0,1,1,0,0
24,1,8,200,10000,1,0,0,0,0,1,1,0,0
25,1,8,200,10000,1,0,0,0,0,1,1,0,0
26,1,8,200,10000,1,0,0,0,0,1,1,0,0
27,1,8,200,10000,1,0,0,0,0,1,1,0,0
28,1,8,200,10000,1,0,0,0,0,1,1,0,0
29,1,8,200,10000,1,0,0,0,0,1,1,0,0
30,1,8,200,10000,1,0,0,0,0,1,1,0,0
31,1,8,200,10000,1,0,0,0,0,1,1,0,0
32,1,8,200,10000,1,0,0,0,0,1,1,0,0
33,1,8,200,10000,1,0,0,0,0,1,1,0,0
34,1,8,200,10000,1,0,0,0,0,1,1,0,0
35,1,8,200,10000,1,0,0,0,0,1,1,0,0
36,1,8,200,10000,1,0,0,0,0,1,1,0,0
37,1,8,200,10000,1,0,0,0,0,1,1,0,0
38,1,8,200,10000,1,0,0,0,0,1,1,0,0
39,1,8,200,10000,1,0,0,0,0,1,1,0,0
40,1,8,200,10000,1,0,0,0,0,1,1,0,0
41,1,8,200,10000,1,0,0,0,0,1,1,0,0
42,1,8,200,10000,1,0,0,0,0,1,1,0,0
43,1,8,200,10000,1,0,0,0,0,1,1,0,0
44,1,8,200,10000,1,0,0,0,0,1,1,0,0
45,1,8,200,10000,1,0,0,0,0,1,1,0,0
46,1,8,200,10000,1,0,0,0,0,1,1,0,0
47,1,8,200,10000,1,0,0,0,0,1,1,0,0
48,1,8,200,10000,1,0,0,0,0,1,1,0,0
49,1,8,200,10000,1,0,0,0,0,1,1,0,0
50,1,8,200,10000,1,0,0,0,0,1,1,0,0
1,1,9,200,10000,1,0,0,0,0,1,1,0,0
2,1,9,200,10000,1,0,0,0,0,1,1,0,0
3,1,9,200,10000,1,0,0,0,0,1,1,0,0
4,1,9,200,10000,1,0,0,0,0,1,1,0,0
5,1,9,200,10000,1,0,0,0,0,1,1,0,0
6,1,9,200,10000,1,0,0,0,0,1,1,0,0
7,1,9,200,10000,1,0,0,0,0,1,1,0,0
8,1,9,200,10000,1,0,0,0,0,1,1,0,0
9,1,9,200,10000,1,0,0,0,0,1,1,0,0
10,1,9,200,10000,1,0,0,0,0,1,1,0,0
11,1,9,200,10000,1,0,0,0,0,1,1,0,0
12,1,9,200,10000,1,0,0,0,0,1,1,0,0
13,1,9,200,10000,1,0,0,0,0,1,1,0,0
14,1,9,200,10000,1,0,0,0,0,1,1,0,0
15,1,9,200,10000,1,0,0,0,0,1,1,0,0
16,1,9,200,10000,1,0,0,0,0,1,1,0,0
17,1,9,200,10000,1,0,0,0,0,1,1,0,0
18,1,9,200,10000,1,0,0,0,0,1,1,0,0
19,1,9,200,10000,1,0,0,0,0,1,1,0,0
20,1,9,200,10000,1,0,0,0,0,1,1,0,0
21,1,9,200,10000,1,0,0,0,0,1,1,0,0
22,1,9,200,10000,1,0,0,0,0,1,1,0,0
23,1,9,200,10000,1,0,0,0,0,1,1,0,0
24,1,9,200,10000,1,0,0,0,0,1,1,0,0
25,1,9,200,10000,1,0,0,0,0,1,1,0,0
26,1,9,200,10000,1,0,0,0,0,1,1,0,0
27,1,9,200,10000,1,0,0,0,0,1,1,0,0
28,1,9,200,10000,1,0,0,0,0,1,1,0,0
29,1,9,200,10000,1,0,0,0,0,1,1,0,0
30,1,9,200,10000,1,0,0,0,0,1,1,0,0
31,1,9,200,10000,1,0,0,0,0,1,1,0,0
32,1,9,200,10000,1,0,0,0,0,1,1,0,0
33,1,9,200,10000,1,0,0,0,0,1,1,0,0
34,1,9,200,10000,1,0,0,0,0,1,1,0,0
35,1,9,200,10000,1,0,0,0,0,1,1,0,0
36,1,9,200,10000,1,0,0,0,0,1,1,0,0
37,1,9,200,10000,1,0,0,0,0,1,1,0,0
38,1,9,200,10000,1,0,0,0,0,1,1,0,0
39,1,9,200,10000,1,0,0,0,0,1,1,0,0
40,1,9,200,10000,1,0,0,0,0,1,1,0,0
41,1,9,200,10000,1,0,0,0,0,1,1,0,0
42,1,9,200,10000,1,0,0,0,0,1,1,0,0
43,1,9,200,10000,1,0,0,0,0,1,1,0,0
44,1,9,200,10000,1,0,0,0,0,1,1,0,0
45,1,9,200,10000,1,0,0,0,0,1,1,0,0
46,1,9,200,10000,1,0,0,0,0,1,1,0,0
47,1,9,200,10000,1,0,0,0,0,1,1,0,0
48,1,9,200,10000,1,0,0,0,0,1,1,0,0
49,1,9,200,10000,1,0,0,0,0,1,1,0,0
50,1,9,200,10000,1,0,0,0,0,1,1,0,0
1,1,10,200,10000,1,0,0,0,0,1,1,0,0
2,1,10,200,10000,1,0,0,0,0,1,1,0,0
3,1,10,200,10000,1,0,0,0,0,1,1,0,0
4,1,10,200,10000,1,0,0,0,0,1,1,0,0
5,1,10,200,10000,1,0,0,0,0,1,1,0,0
6,1,10,200,10000,1,0,0,0,0,1,1,0,0
7,1,10,200,10000,1,0,0,0,0,1,1,0,0
8,1,10,200,10000,1,0,0,0,0,1,1,0,0
9,1,10,200,10000,1,0,0,0,0,1,1,0,0
10,1,10,200,10000,1,0,0,0,0,1,1,0,0
11,1,10,200,10000,1,0,0,0,0,1,1,0,0
12,1,10,200,10000,1,0,0,0,0,1,1,0,0
13,1,10,200,10000,1,0,0,0,0,1,1,0,0
14,1,10,200,10000,1,0,0,0,0,1,1,0,0
15,1,10,200,10000,1,0,0,0,0,1,1,0,0
16,1,10,200,10000,1,0,0,0,0,1,1,0,0
17,1,10,200,10000,1,0,0,0,0,1,1,0,0
18,1,10,200,10000,1,0,0,0,0,1,1,0,0
19,1,10,200,10000,1,0,0,0,0,1,1,0,0
20,1,10,200,10000,1,0,0,0,0,1,1,0,0
21,1,10,200,10000,1,0,0,0,0,1,1,0,0
22,1,10,200,10000,1,0,0,0,0,1,1,0,0
23,1,10,200,10000,1,0,0,0,0,1,1,0,0
24,1,10,200,10000,1,0,0,0,0,1,1,0,0
25,1,10,200,10000,1,0,0,0,0,1,1,0,0
26,1,10,200,10000,1,0,0,0,0,1,1,0,0
27,1,10,200,10000,1,0,0,0,0,1,1,0,0
28,1,10,200,10000,1,0,0,0,0,1,1,0,0
29,1,10,200,10000,1,0,0,0,0,1,1,0,0
30,1,10,200,10000,1,0,0,0,0,1,1,0,0
