i,x,y,q,te,tl
111,1.87E+03,1.56E+03,1,0,100000
112,1.82E+03,1.56E+03,1,0,100000
113,1.80E+03,1.56E+03,1,0,100000
114,1.77E+03,1.56E+03,1,0,100000
115,1.77E+03,1.66E+03,1,0,100000
116,1.80E+03,1.66E+03,1,0,100000
117,1.82E+03,1.66E+03,1,0,100000
118,1.87E+03,1.66E+03,1,0,100000
119,1.90E+03,1.66E+03,1,0,100000
120,1.92E+03,1.66E+03,1,0,100000
121,1.81E+03,1.69E+03,1,0,100000
122,1.76E+03,1.69E+03,1,0,100000
123,1.88E+03,1.73E+03,1,0,100000
124,2.00E+03,1.73E+03,1,0,100000
125,2.08E+03,1.73E+03,1,0,100000
126,2.11E+03,1.73E+03,1,0,100000
127,2.18E+03,1.73E+03,1,0,100000
128,2.24E+03,1.73E+03,1,0,100000
129,2.18E+03,1.78E+03,1,0,100000
130,2.13E+03,1.78E+03,1,0,100000
131,2.10E+03,1.78E+03,1,0,100000
132,2.10E+03,1.81E+03,1,0,100000
133,2.13E+03,1.81E+03,1,0,100000
134,2.10E+03,1.83E+03,1,0,100000
135,2.13E+03,1.83E+03,1,0,100000
136,2.15E+03,1.83E+03,1,0,100000
137,2.24E+03,1.85E+03,1,0,100000
138,2.00E+03,1.85E+03,1,0,100000
139,1.88E+03,1.85E+03,1,0,100000
140,2.10E+03,1.86E+03,1,0,100000
141,2.13E+03,1.86E+03,1,0,100000
142,2.10E+03,1.89E+03,1,0,100000
143,2.13E+03,1.89E+03,1,0,100000
144,2.18E+03,1.89E+03,1,0,100000
145,2.15E+03,1.91E+03,1,0,100000
146,2.13E+03,1.91E+03,1,0,100000
147,2.10E+03,1.91E+03,1,0,100000
148,2.10E+03,1.94E+03,1,0,100000
149,2.13E+03,1.94E+03,1,0,100000
150,2.18E+03,1.94E+03,1,0,100000
151,2.23E+03,1.94E+03,1,0,100000
152,2.13E+03,1.96E+03,1,0,100000
153,2.10E+03,1.96E+03,1,0,100000
154,1.80E+03,1.99E+03,1,0,100000
155,1.82E+03,1.99E+03,1,0,100000
156,1.85E+03,1.99E+03,1,0,100000
157,1.87E+03,1.99E+03,1,0,100000
158,1.90E+03,1.99E+03,1,0,100000
159,1.95E+03,1.99E+03,1,0,100000
160,2.06E+03,1.99E+03,1,0,100000
161,2.10E+03,1.99E+03,1,0,100000
162,2.13E+03,1.99E+03,1,0,100000
163,2.25E+03,1.99E+03,1,0,100000
164,2.30E+03,1.99E+03,1,0,100000
165,2.38E+03,1.99E+03,1,0,100000
166,2.41E+03,1.99E+03,1,0,100000
167,2.02E+03,1.40E+03,1,0,100000
168,2.15E+03,1.40E+03,1,0,100000
169,2.08E+03,1.71E+03,1,0,100000
170,2.18E+03,1.71E+03,1,0,100000
171,2.35E+03,1.73E+03,1,0,100000
172,2.35E+03,1.85E+03,1,0,100000
173,3.65E+03,1.01E+03,1,0,100000
174,3.73E+03,1.01E+03,1,0,100000
175,3.73E+03,1.09E+03,1,0,100000
176,3.65E+03,1.09E+03,1,0,100000
177,3.73E+03,1.15E+03,1,0,100000
178,3.80E+03,1.15E+03,1,0,100000
179,3.85E+03,1.15E+03,1,0,100000
180,3.80E+03,1.17E+03,1,0,100000
181,3.70E+03,1.17E+03,1,0,100000
182,3.61E+03,1.20E+03,1,0,100000
183,3.70E+03,1.20E+03,1,0,100000
184,3.80E+03,1.20E+03,1,0,100000
185,3.85E+03,1.20E+03,1,0,100000
186,4.03E+03,1.31E+03,1,0,100000
187,3.95E+03,1.31E+03,1,0,100000
188,3.73E+03,1.31E+03,1,0,100000
189,3.65E+03,1.31E+03,1,0,100000
190,3.65E+03,1.39E+03,1,0,100000
191,3.73E+03,1.39E+03,1,0,100000
192,3.95E+03,1.39E+03,1,0,100000
193,4.03E+03,1.39E+03,1,0,100000
194,3.85E+03,1.12E+03,1,0,100000
195,3.95E+03,1.09E+03,1,0,100000
196,4.03E+03,1.09E+03,1,0,100000
197,4.03E+03,1.01E+03,1,0,100000
198,3.95E+03,1.01E+03,1,0,100000
